Creation Date,Step Count
2023-10-07 02:48:17+03:00,329
2023-10-07 02:48:50+03:00,286
2023-10-07 02:58:59+03:00,298
2023-10-07 02:59:45+03:00,198
2023-10-07 19:56:50+03:00,699
2023-10-07 20:07:18+03:00,139
2023-10-07 21:11:17+03:00,926
2023-10-07 21:11:39+03:00,923
2023-10-07 21:23:00+03:00,539
2023-10-07 21:24:02+03:00,536
2023-10-07 23:22:15+03:00,449
2023-10-07 23:22:59+03:00,437
2023-10-07 23:23:21+03:00,100
2023-10-07 23:33:25+03:00,409
2023-10-07 23:36:31+03:00,146
2023-10-07 23:43:54+03:00,441
2023-10-07 23:48:40+03:00,589
2023-10-07 23:53:55+03:00,383
2023-10-08 00:08:52+03:00,141
2023-10-08 00:39:46+03:00,790
2023-10-08 00:41:27+03:00,892
2023-10-08 00:49:03+03:00,962
2023-10-08 00:51:19+03:00,957
2023-10-08 00:54:49+03:00,103
2023-10-08 01:01:29+03:00,173
2023-10-08 01:31:10+03:00,185
2023-10-09 05:44:24+03:00,107
2023-10-09 23:00:43+03:00,114
2023-10-10 00:17:06+03:00,168
2023-10-10 00:48:52+03:00,122
2023-10-10 01:25:06+03:00,118
2023-10-11 23:25:35+03:00,104
2023-10-12 21:19:54+03:00,100
2023-10-12 21:20:14+03:00,196
2023-10-13 07:35:15+03:00,116
2023-10-13 07:45:40+03:00,530
2023-10-13 07:46:10+03:00,561
2023-10-13 07:57:05+03:00,607
2023-10-13 07:57:25+03:00,650
2023-10-13 08:30:17+03:00,473
2023-10-13 08:35:21+03:00,911
2023-10-13 08:40:39+03:00,687
2023-10-13 09:22:28+03:00,133
2023-10-13 09:22:33+03:00,132
2023-10-13 10:21:20+03:00,352
2023-10-13 10:22:14+03:00,401
2023-10-13 10:32:17+03:00,441
2023-10-13 10:32:26+03:00,461
2023-10-13 10:41:33+03:00,526
2023-10-13 10:41:33+03:00,466
2023-10-13 11:06:04+03:00,318
2023-10-13 11:17:09+03:00,244
2023-10-13 11:17:57+03:00,177
2023-10-13 11:38:22+03:00,755
2023-10-13 11:39:08+03:00,770
2023-10-13 11:51:58+03:00,235
2023-10-13 11:52:15+03:00,235
2023-10-13 14:06:26+03:00,118
2023-10-14 20:08:56+03:00,576
2023-10-14 21:30:12+03:00,305
2023-10-14 21:30:51+03:00,249
2023-10-14 23:42:45+03:00,361
2023-10-14 23:44:53+03:00,398
2023-10-14 23:54:47+03:00,102
2023-10-14 23:58:02+03:00,641
2023-10-15 00:07:37+03:00,216
2023-10-15 00:18:27+03:00,180
2023-10-15 00:44:30+03:00,310
2023-10-15 00:52:36+03:00,764
2023-10-15 00:54:48+03:00,808
2023-10-15 01:01:36+03:00,727
2023-10-15 01:05:26+03:00,842
2023-10-15 01:11:59+03:00,801
2023-10-15 01:15:27+03:00,729
2023-10-15 01:21:24+03:00,307
2023-10-15 02:00:32+03:00,135
2023-10-15 02:32:41+03:00,176
2023-10-15 13:00:29+03:00,113
2023-10-15 21:03:28+03:00,682
2023-10-15 21:13:29+03:00,117
2023-10-15 21:24:34+03:00,663
2023-10-16 03:15:40+03:00,119
2023-10-16 03:54:36+03:00,156
2023-10-16 04:24:29+03:00,102
2023-10-16 21:09:47+03:00,163
2023-10-17 12:58:40+03:00,130
2023-10-17 13:08:46+03:00,377
2023-10-17 13:37:28+03:00,169
2023-10-17 14:01:39+03:00,242
2023-10-17 14:56:10+03:00,160
2023-10-17 15:08:53+03:00,138
2023-10-17 15:47:20+03:00,896
2023-10-17 15:55:58+03:00,337
2023-10-17 16:36:26+03:00,943
2023-10-17 16:51:52+03:00,621
2023-10-18 23:25:50+03:00,108
2023-10-18 23:25:51+03:00,173
2023-10-18 23:25:51+03:00,114
2023-10-18 23:25:51+03:00,245
2023-10-18 23:25:51+03:00,101
2023-10-18 23:25:51+03:00,195
2023-10-18 23:25:51+03:00,223
2023-10-18 23:25:52+03:00,911
2023-10-18 23:25:52+03:00,346
2023-10-18 23:25:52+03:00,143
2023-10-18 23:25:53+03:00,555
2023-10-18 23:25:53+03:00,935
2023-10-18 23:25:53+03:00,855
2023-10-19 12:38:30+03:00,326
2023-10-19 12:38:58+03:00,186
2023-10-19 13:05:52+03:00,203
2023-10-19 13:07:44+03:00,156
2023-10-19 13:20:30+03:00,108
2023-10-19 13:21:27+03:00,150
2023-10-19 14:03:34+03:00,105
2023-10-19 14:06:34+03:00,201
2023-10-19 14:15:16+03:00,143
2023-10-19 14:55:47+03:00,124
2023-10-19 14:57:10+03:00,232
2023-10-19 15:05:31+03:00,240
2023-10-19 15:07:10+03:00,133
2023-10-19 15:46:27+03:00,791
2023-10-19 15:46:59+03:00,909
2023-10-19 15:56:22+03:00,386
2023-10-19 15:56:26+03:00,413
2023-10-19 16:26:33+03:00,901
2023-10-19 16:29:29+03:00,944
2023-10-19 16:37:12+03:00,900
2023-10-19 16:38:41+03:00,895
2023-10-19 16:46:46+03:00,602
2023-10-19 16:48:44+03:00,382
2023-10-20 18:10:12+03:00,104
2023-10-20 19:45:06+03:00,213
2023-10-20 19:48:19+03:00,352
2023-10-20 20:08:29+03:00,134
2023-10-20 21:00:14+03:00,715
2023-10-20 21:00:21+03:00,688
2023-10-20 21:09:16+03:00,643
2023-10-20 21:10:14+03:00,703
2023-10-20 23:30:51+03:00,930
2023-10-20 23:31:08+03:00,932
2023-10-21 00:09:38+03:00,118
2023-10-21 05:44:54+03:00,119
2023-10-21 22:45:07+03:00,101
2023-10-22 00:39:50+03:00,106
2023-10-22 19:20:22+03:00,137
2023-10-22 22:03:02+03:00,118
2023-10-22 22:14:13+03:00,220
2023-10-22 22:24:06+03:00,115
2023-10-22 22:38:25+03:00,129
2023-10-22 23:05:11+03:00,103
2023-10-22 23:23:41+03:00,122
2023-10-23 14:51:52+03:00,315
2023-10-23 15:01:25+03:00,422
2023-10-23 15:12:06+03:00,414
2023-10-23 15:14:52+03:00,380
2023-10-23 16:46:09+03:00,526
2023-10-23 16:48:26+03:00,475
2023-10-23 17:01:38+03:00,617
2023-10-23 17:03:48+03:00,259
2023-10-23 17:18:44+03:00,306
2023-10-23 17:22:08+03:00,757
2023-10-23 17:27:08+03:00,494
2023-10-23 17:32:19+03:00,575
2023-10-23 17:42:23+03:00,415
2023-10-23 18:17:23+03:00,535
2023-10-23 18:17:33+03:00,587
2023-10-23 18:27:50+03:00,789
2023-10-23 18:28:38+03:00,852
2023-10-23 18:38:32+03:00,735
2023-10-23 18:38:42+03:00,660
2023-10-23 18:48:08+03:00,791
2023-10-23 18:48:40+03:00,854
2023-10-23 23:20:52+03:00,101
2023-10-23 23:20:52+03:00,103
2023-10-23 23:20:52+03:00,101
2023-10-23 23:23:43+03:00,724
2023-10-23 23:31:48+03:00,212
2023-10-24 01:16:44+03:00,709
2023-10-24 01:16:48+03:00,707
2023-10-24 01:26:38+03:00,123
2023-10-24 01:26:50+03:00,145
2023-10-24 13:25:20+03:00,200
2023-10-24 13:36:21+03:00,168
2023-10-24 13:39:48+03:00,228
2023-10-24 13:53:58+03:00,116
2023-10-24 14:04:25+03:00,186
2023-10-24 14:15:22+03:00,205
2023-10-24 14:20:36+03:00,197
2023-10-24 14:55:59+03:00,213
2023-10-24 14:56:47+03:00,259
2023-10-24 15:37:39+03:00,957
2023-10-24 15:39:14+03:00,840
2023-10-24 15:47:09+03:00,411
2023-10-24 15:47:36+03:00,341
2023-10-24 16:20:43+03:00,876
2023-10-24 16:21:40+03:00,808
2023-10-24 16:30:47+03:00,864
2023-10-24 16:36:36+03:00,814
2023-10-24 16:40:42+03:00,768
2023-10-24 16:51:45+03:00,135
2023-10-25 01:46:35+03:00,134
2023-10-25 03:05:35+03:00,173
